course_name,course_name_length,course_url,course_rating,course_enrolled,rating,reviews,course_views,course_hours,course_category,course_discipline,num_of_weeks,course_level
Practical Reinforcement Learning,32,https://www.coursera.org/learn/practical-rl,4.1,25426,315,86,54364,38,Data Science,Machine Learning,6,Advanced
Макроэкономика (Macroeconomics),31,https://www.coursera.org/learn/makrojekonomika,4.9,19589,383,39,52982,31,Social Sciences,Economics,10,Beginner
Introduction to Neuroeconomics: How the Brain Makes Decisions,61,https://www.coursera.org/learn/neuroeconomics,4.7,82329,1161,239,84758,18,Social Sciences,Economics,9,Beginner
Линейная алгебра (Linear Algebra),33,https://www.coursera.org/learn/algebra-lineynaya,4.5,22339,271,50,34765,39,Math and Logic,Math and Logic,11,Beginner
"Инфраструктура рынка, методы и технологии инвестирования",56,https://www.coursera.org/learn/infrastruktura-rynka,4.3,4895,72,11,6040,12,Business,Finance,4,Beginner
Методы и средства защиты информации,35,https://www.coursera.org/learn/metody-i-sredstva-zashity-informacii,4.7,3772,34,6,11829,23,Computer Science,Computer Security and Networks,9,Beginner
Теория отраслевых рынков (Industrial Organization),50,https://www.coursera.org/learn/otraslevye-rynki,4.6,5569,48,8,5028,30,Social Sciences,Economics,8,Intermediate
Ценные бумаги: правовое регулирование,37,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie,4.9,13538,181,24,26206,31,Business,Finance,10,None
"Учимся учиться. Как преуспеть в школе, не тратя всё время на учёбу",66,https://www.coursera.org/learn/learnhow,4.8,17849,500,107,60166,5,Personal Development,Personal Development,3,Beginner
Российское предпринимательское право,36,https://www.coursera.org/learn/rus-business-law,None,None,None,None,9873,32,Social Sciences,Law,10,Intermediate
Jacobi modular forms: 30 ans après,34,https://www.coursera.org/learn/modular-forms-jacobi,4.8,2672,14,3,2014,55,Math and Logic,Math and Logic,12,Advanced
Public Economics,16,https://www.coursera.org/learn/public-economics,4.5,13188,97,17,4982,15,Social Sciences,Economics,6,Intermediate
Economics of Transition and Emerging Markets,44,https://www.coursera.org/learn/economics-transition-emerging-markets,4.3,8709,105,14,6716,13,Social Sciences,Economics,6,Beginner
Business Strategies for Emerging Markets,40,https://www.coursera.org/learn/business-strategies,4.8,7551,125,28,23453,20,Business,Business Strategy,8,Intermediate
Юридическое оформление инвестиционных идей,42,https://www.coursera.org/learn/law-invest-ideas,4.7,1977,12,5,3994,27,Social Sciences,Law,9,None
Bayesian Methods for Machine Learning,37,https://www.coursera.org/learn/bayesian-methods-in-machine-learning,4.6,34047,491,136,83782,38,Data Science,Machine Learning,6,Advanced
Работа с клиентской базой и входящий маркетинг,46,https://www.coursera.org/learn/klientskaya-basa-vkhodyaschii-marketing,4.7,3235,97,13,7338,12,Business,Marketing,4,Intermediate
Основы философии: о чем спорят философы сегодня,47,https://www.coursera.org/learn/osnovy-filosofii,4.8,20722,317,28,99271,19,Arts and Humanities,Philosophy,11,Beginner
Communication theory: bridging academia and practice,52,https://www.coursera.org/learn/communicationtheory-academia-practice,4.7,5679,48,4,39061,10,Social Sciences,Governance and Society,9,Intermediate
"Итоговый проект специализации ""Основы Digital Маркетинга""",57,https://www.coursera.org/learn/capstone-project,4.5,None,20,5,3015,12,Business,Marketing,4,Intermediate
